id,标题,字段,原值,新值,状态
2,中华人民共和国商业银行法,doc_number,,主席令第三十四号,已应用
2,中华人民共和国商业银行法,pub_date,,2015-08-29,已应用
2,中华人民共和国商业银行法,remark,nfra目录号:717804719/2019-22303 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22303；网页发布:2019-12-29；现行文本为2015-08-29《全国人大常委会关于修改〈商业银行法〉的决定》(主席令第34号)公布并据此重新公布的2015修正版，修改决定自2015-10-01起施行；1995-05-10制定通过，2003-12-27曾修正。；补录核验:2026-09-09,已应用
3,中华人民共和国保险法,doc_number,,主席令第二十六号,已应用
3,中华人民共和国保险法,pub_date,2009-02-28,2015-04-24,已应用
3,中华人民共和国保险法,remark,nfra目录号:717804719/2019-22304 网页发布:2019-12-29 文号未识别待人工补,nfra目录号:717804719/2019-22304；网页发布:2019-12-29；库内文本为2015-04-24第二次修正版（经《全国人大常委会关于修改〈计量法〉等五部法律的决定》打包修改，主席令第26号，自公布之日起施行）；2009-02-28全面修订文本自2009-10-01施行；2014-08-31第一次修正；1995-06-30通过。；补录核验:2026-09-09,已应用
4,中华人民共和国银行业监督管理法,doc_number,,主席令第五十八号,已应用
4,中华人民共和国银行业监督管理法,pub_date,2003-12-27,2006-10-31,已应用
4,中华人民共和国银行业监督管理法,remark,nfra目录号:717804719/2019-22305 网页发布:2019-12-29 文号未识别待人工补,nfra目录号:717804719/2019-22305；网页发布:2019-12-29；库内文本为2006修正版（2003-12-27通过、2004-02-01起施行；2006-10-31《关于修改〈银行业监督管理法〉的决定》主席令第58号修正并重新公布，修正决定自2007-01-01施行）。；补录核验:2026-09-09,已应用
5,中华人民共和国信托法,doc_number,,主席令第五十号,已应用
5,中华人民共和国信托法,remark,nfra目录号:717804719/2019-22306 网页发布:2019-12-29 文号未识别待人工补,nfra目录号:717804719/2019-22306；网页发布:2019-12-29；2001-04-28主席令第50号公布，自2001-10-01起施行。；补录核验:2026-09-09,已应用
6,中华人民共和国票据法,doc_number,,主席令第二十二号,已应用
6,中华人民共和国票据法,pub_date,,2004-08-28,已应用
6,中华人民共和国票据法,effective_date,,2004-08-28,已应用
6,中华人民共和国票据法,remark,nfra目录号:717804719/2019-22307 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22307；网页发布:2019-12-29；1995-05-10通过(1996-01-01施行)；库内文本为2004修正版：2004-08-28《关于修改〈票据法〉的决定》(主席令第22号)修正并重新公布，自公布之日起施行。；补录核验:2026-09-09,已应用
7,中华人民共和国外资银行管理条例,doc_number,,国务院令第478号,已应用
7,中华人民共和国外资银行管理条例,pub_date,2014-07-29,2006-11-11,已应用
7,中华人民共和国外资银行管理条例,remark,nfra目录号:717804719/2019-22309 网页发布:2019-12-29 文号未识别待人工补,nfra目录号:717804719/2019-22309；网页发布:2019-12-29；2006-11-11国务院令第478号公布，自2006-12-11施行；沿革：2014-07-29《国务院关于修改部分行政法规的决定》第一次修订、2014-11-27《国务院关于修改〈外资银行管理条例〉的决定》(国务院令第657号)第二次修订、2019-09-30国务院令第720号第三次修改——库内文本为2019年修改版(原pub误取2014-07-29为第一次修订日，已更正)。；补录核验:2026-09-09,已应用
8,中华人民共和国外资保险公司管理条例,doc_number,,国务院令第336号,已应用
8,中华人民共和国外资保险公司管理条例,pub_date,2016-02-06,2001-12-12,已应用
8,中华人民共和国外资保险公司管理条例,remark,nfra目录号:717804719/2019-22310 网页发布:2019-12-29 文号未识别待人工补,nfra目录号:717804719/2019-22310；网页发布:2019-12-29；2001-12-12国务院令第336号公布，自2002-02-01施行；沿革：2013-05-30《关于修改〈外资保险公司管理条例〉的决定》(国务院令第636号)第一次修订、2016-02-06国务院令第666号第二次修订、2019-09-30国务院令第720号第三次修改——库内文本为2019年修改版(原pub误取2016-02-06为第二次修订日，已更正)。；补录核验:2026-09-09,已应用
9,机动车交通事故责任强制保险条例,doc_number,,国务院令第462号,已应用
9,机动车交通事故责任强制保险条例,pub_date,,2006-03-21,已应用
9,机动车交通事故责任强制保险条例,remark,nfra目录号:717804719/2019-22311 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22311；网页发布:2019-12-29；2006-03-21国务院令第462号公布，自2006-07-01施行；沿革：2012-03-30(国务院令第618号)、2012-12-17(国务院令第630号)两次专门修改，2016-02-06(国务院令第666号)、2019-03-02(国务院令第709号)随批量修改决定修订——库内文本为2019年修改版。；补录核验:2026-09-09,已应用
10,农业保险条例,doc_number,,国务院令第629号,已应用
10,农业保险条例,pub_date,,2012-11-12,已应用
10,农业保险条例,remark,nfra目录号:717804719/2019-22312 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22312；网页发布:2019-12-29；2012-11-12国务院令第629号公布，自2013-03-01施行；2016-02-06经国务院令第666号批量修改(自公布之日起施行)。；补录核验:2026-09-09,已应用
11,融资担保公司监督管理条例,doc_number,,国务院令第683号,已应用
11,融资担保公司监督管理条例,pub_date,,2017-08-02,已应用
11,融资担保公司监督管理条例,remark,nfra目录号:717804719/2019-22313 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22313；网页发布:2019-12-29；2017-08-02国务院令第683号公布，自2017-10-01施行；监管体制：省级地方金融监督管理部门日常监管+国务院部际联席会议(国务院银行业监督管理机构牵头，机构改革后现为国家金融监督管理总局)——补挂分类『融资担保』(原漏挂)。；补录核验:2026-09-09,已应用
11,融资担保公司监督管理条例,reg_category,未挂,cat_id=176,已应用
12,金融资产管理公司条例,doc_number,,国务院令第297号,已应用
12,金融资产管理公司条例,pub_date,,2000-11-10,已应用
12,金融资产管理公司条例,effective_date,,2000-11-10,已应用
12,金融资产管理公司条例,remark,nfra目录号:717804719/2019-22314 网页发布:2019-12-29 文号未识别待人工补 公布日期待人工补,nfra目录号:717804719/2019-22314；网页发布:2019-12-29；2000-11-10国务院令第297号公布，自公布之日起施行；四家AMC转制等改革后其监管适用以最新规定为准(建议年度复核时效)。；补录核验:2026-09-09,已应用
13,金融机构撤销条例,doc_number,,国务院令第324号,已应用
13,金融机构撤销条例,pub_date,,2001-11-23,已应用
